"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","18 JUNE 2014","D162632",54,44,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","18","06","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","09 APRIL 2014","A4851",62,50,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","09","04","2014"
"MUSTELUS MUSTELUS","Smooth houndshark","21 APRIL 2014","D136038",44.4,35.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","04","2014"
"CALLORHINCHUS CAPENSIS","St. Joseph's","04 APRIL 2014","A4807",80,64,NA,"LANGBAAI","Walker Bay",-34.409699,19.274295,"LINEFISHING","04","04","2014"
"PORODERMA PANTHERINUM","Leopard catchark","12 APRIL 2014","A4847",71,57,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","12","04","2014"
"PORODERMA AFRICANUM","Pyjama catshark","11 APRIL 2014","A4853",65.5,51.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","11","04","2014"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","23 APRIL 2014","D136023",58.5,46,"M","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","23","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","09 APRIL 2014","D136039",45,35.5,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","09","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","09 APRIL 2014","D136034",44,35,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","09","04","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 MARCH 2014","A3210",88,70,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","12 MARCH 2014","A3209",57,45.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 MARCH 2014","A5939",87,68,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"RAJA STRAELENI","Biscuit skate","12 MARCH 2014","A3207",54.5,NA,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","18 JUNE 2014","D162633",56.4,45,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","18","06","2014"
"PORODERMA AFRICANUM","Pyjama catshark","18 JUNE 2014","D146419",101,80,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","18","06","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 APRIL 2014","A4844",90,70,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","12","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","09 APRIL 2014","D136046",42,33.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","09","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","18 JUNE 2014","D121548",57.4,45.4,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","18","06","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 MARCH 2014","A3208",89,71,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","09 APRIL 2014","A5760",62,51,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","09","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","12 MARCH 2014","A5970",62,49.5,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","14 MARCH 2014","A4843",64,50.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","14","03","2014"
"TRIAKIS MEGALOPTERUS","Spotted Gully shark","11 APRIL 2014","A4853",65.5,51.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","11","04","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 MARCH 2014","A1660",93,73,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","12 APRIL 2014","A4845",100,78,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","12","04","2014"
"PORODERMA AFRICANUM","Pyjama catshark","11 APRIL 2014","A5944",93,74,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","11","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","05 APRIL 2014","A4809",63,47,"M","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","05","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","18 JUNE 2014","D162631",56.5,46,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","18","06","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","12 MARCH 2014","N/A",43,34.5,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","11 MARCH 2014","A4801",68,53.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","11","03","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","12 MARCH 2014","A3203",73,45.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","12","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","25 MARCH 2014","A4804",89.5,70.8,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","25 MARCH 2014","A4805",63.5,52,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","25 MARCH 2014","A4802",94,73,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","03","2014"
