"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","16 MAY 2011","A1720",58.5,47.5,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","16","05","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2951",NA,163.5,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2952",162,135,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2953",171,137,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2954",165,135,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2955",166,136,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2956",149,118,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2014","D136032",43,NA,"f","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2014","D136045",59.5,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","22 FEBRUARY 2013","A3229",85.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","22","02","2013"
"ACROTERIOBATUS ANNULATUS","A","22 FEBRUARY 2013","A5930",92,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","22","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","22 FEBRUARY 2013","A3656",89.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","22","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","22 FEBRUARY 2013","A3653",89.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","22","02","2013"
