"OCCURRENCEID","EVENTDATE","LOCALITY","LATITUDE","LONGITUDE","SAMPLINGPROTOCOL...6","SAMPLINGEFFORT...7","SAMPLESIZEVALUE","SAMPLESIZEUNIT","DATATYPE","SAMPLINGEFFORT...11","INATID","WORMSID","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIFICEPITHET","INFRASPECIFICEPITHET","VERNACULARNAME","TAXONREMARKS","ORGANISMQUANTITY","ORGANISMQUANTITYTYPE","SEX","LIFESTAGE","RECORDEDBY","OCCURRENCEREMARKS","WATERTEMPERATURE","WATERTEMPERATUREUNIT","WATERTEMPERATUREREMARKS","WATERVISIBILITY","WATERVISIBILITYUNIT","DIVETYPE","CLOUD","CLOUDUNIT","DEPTH","DEPTHUNIT","SWELL","SWELLUNIT","FIELDOFVIEW","FIELDOFVIEWUNIT","SURFACELUX","SURFACELUXUNIT","WINDDIRECTION","WINDSPEED","WINDSPEEDUNIT","PROFILE","PROFILEUNIT","BAITTYPE","TIMEOFFIRSTSIGHTING","TIMEOFMAXN","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","OWNER"
26,2018-01-12 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",50,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","PICTUS",NA,"DARK SHYSHARK",NA,"S","SFMA count",NA,NA,"Kayla Ireland",NA,NA,NA,NA,6,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","01","2018","HAPLOBLEPHARUS PICTUS","CAPERADD"
43,2018-01-14 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",90,107194,217628,"Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","NOTORYNCHUS","CEPEDIANUS",NA,"BROADNOSE SEVENGILL COWSHARK",NA,"F","SFMA count",NA,NA,"Dylan Irion",NA,NA,NA,NA,8,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","01","2018","NOTORYNCHUS CEPEDIANUS","CAPERADD"
56,2018-01-29 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Jessica Jade Finlay",NA,"20.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","01","2018","PORODERMA AFRICANUM","CAPERADD"
57,2018-01-29 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"F","SFMA count",NA,NA,"Alex Barron",NA,"20.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","01","2018","PORODERMA AFRICANUM","CAPERADD"
61,2018-01-29 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Sarah Ward",NA,"20.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","01","2018","PORODERMA AFRICANUM","CAPERADD"
98,2018-02-06 00:00:00,"A-Frame","-34.20807","18.46103",NA,NA,NA,NA,"UVC",50,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"S","SFMA count",NA,NA,"Marjan Androussenko",NA,"17.0","C",NA,5,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","02","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
110,2018-02-17 00:00:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",45,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"F","SFMA count",NA,NA,"Daniel Smit",NA,"18.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","02","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
126,2018-02-17 00:00:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",45,102102,217644,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","FUSCUS",NA,"BROWN SHYSHARK",NA,"S","SFMA count",NA,NA,"Shivani Thakrar",NA,"18.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","02","2018","HAPLOBLEPHARUS FUSCUS","CAPERADD"
134,2018-02-23 00:00:00,"A-Frame","-34.20807","18.46103",NA,NA,NA,NA,"UVC",90,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Lee Jevons",NA,"16.0","C",NA,6,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","02","2018","PORODERMA AFRICANUM","CAPERADD"
135,2018-02-23 00:00:00,"A-Frame","-34.20807","18.46103",NA,NA,NA,NA,"UVC",90,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","PICTUS",NA,"DARK SHYSHARK",NA,"F","SFMA count",NA,NA,"Lee Jevons",NA,"16.0","C",NA,6,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","02","2018","HAPLOBLEPHARUS PICTUS","CAPERADD"
