"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER"
"11.09.2018","GOTHAM","SDRZ","Shallow","0.4291666666666667",NA,NA,"0.43124999999999997",-27.4923099,32.70276686,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","U","They hung around us for 7min : Final drift coordinates are:  -27.4923099  	32.70276686","S30","R38 GoPro",NA,NA,NA,NA,11,9,2018,"SHARKLIFE"
"18.09.2020","RAGGIE REEF","IOWZ","Shallow","0.38611111111111113","0.40277777777777773",24,"0.39305555555555555",27.91505,32.59825,"UVC","BLACKTIP SHARK","CARCHARHINUS AMBLYRHYCHOS",NA,"u","u",NA,"G0030677",NA,NA,"3","Sam","Grant, Dennis, Max,Sam",18,9,2020,"SHARKLIFE"
"18.09.2020","RAGGIE REEF","IOWZ","Shallow","0.38611111111111113","0.40277777777777773",24,"0.40138888888888885",27.91571,32.5981,"UVC","BLACKTIP SHARK","CARCHARHINUS AMBLYRHYCHOS",NA,"u","u",NA,"G0040688",NA,NA,"3","Sam","Grant, Dennis, Max,Sam",18,9,2020,"SHARKLIFE"
"18.09.2020","RAGGIE REEF","IOWZ","Shallow","0.38611111111111113","0.40277777777777773",24,"0.40208333333333335",27.91575,32.59808,"UVC","BLACKTIP SHARK","CARCHARHINUS AMBLYRHYCHOS",NA,"u","u",NA,"G0050695",NA,NA,"3","Sam","Grant, Dennis, Max,Sam",18,9,2020,"SHARKLIFE"
"18.09.2020","RAGGIE REEF","IOWZ","Shallow","0.38611111111111113","0.40277777777777773",24,"0.40208333333333335",27.91575,32.59808,"UVC","BLACKTIP SHARK","CARCHARHINUS AMBLYRHYCHOS",NA,"u","u",NA,"G0050695",NA,NA,"3","Sam","Grant, Dennis, Max,Sam",18,9,2020,"SHARKLIFE"
"07.10.2020","STRINGER","SDRZ","Shallow","0.37638888888888888","0.3923611111111111",23,"0.38611111111111113",27.53085,32.682067,"UVC","LEOPARD WHIPTAIL RAY","HIMANTURA UNDULATA","baracuda","U","U","0","07.10.2020_2M (11)","0","0","4","Sam","Grant, Dennis, Max,Sam,Jess",7,10,2020,"SHARKLIFE"
"21.11.2020","SANCTUARY","IOWZ","Shallow","0.29444444444444445","0.33194444444444443",54,"0.30208333333333331",27.91384,32.59793,"UVC-F","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,NA,NA,NA,"21.11.2020_RR_ Blacktip",NA,"very large, almost the same size as the raggies","2","Sam","Grant, Max, Jess, Sam, Dennis",21,11,2020,"SHARKLIFE"
"07.09.2018","GOTHAM","SDRZ","Shallow","0.44166666666666665",NA,NA,"0.44305555555555554",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","U",NA,NA,"R30 360",NA,NA,NA,NA,7,9,2018,"SHARKLIFE"
"07.09.2018","GOTHAM","SDRZ","Shallow",NA,NA,NA,NA,-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","U",NA,NA,"R30 360",NA,NA,NA,NA,7,9,2018,"SHARKLIFE"
"11.09.2018","GOTHAM","SDRZ","Shallow",NA,NA,NA,NA,-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","U",NA,NA,"R38 GoPro",NA,NA,NA,NA,11,9,2018,"SHARKLIFE"
"23.05.2019","GOTHAM","SDRZ","Shallow",NA,NA,NA,"0.45347222222222222",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","U","always circles upcurrent and with the light behind it",NA,"y",NA,NA,NA,NA,23,5,2019,"SHARKLIFE"
"18.06.2019","GOTHAM","SDRZ","Shallow","0.4291666666666667",NA,NA,"0.4375",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","N","entered the water for a group of wahoos, the bull was circling around for 5 min but didn't came any closer to the surface than 10 m",NA,NA,NA,NA,NA,NA,18,6,2019,"SHARKLIFE"
"18.06.2019","GOTHAM","SDRZ","Shallow","0.4291666666666667",NA,NA,"0.45833333333333331",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","F","old spaghetti tag beneath dorsal fin right","swimming in circles with 2 smaller bulls following; we only entered water briefly and watched from the boat most of the time","C0025","C0025",NA,NA,NA,NA,18,6,2019,"SHARKLIFE"
"18.06.2019","GOTHAM","SDRZ","Shallow","0.4291666666666667",NA,NA,"0.45833333333333331",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","N","swimming in circles following the big female; we only entered water briefly and watched from the boat most of the time","C0042_4","C0039",NA,NA,NA,NA,18,6,2019,"SHARKLIFE"
"18.06.2019","GOTHAM","SDRZ","Shallow","0.4291666666666667",NA,NA,"0.45833333333333331",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","N","swimming in circles following the big female; we only entered water briefly and watched from the boat most of the time","C0038_1","C0039",NA,NA,NA,NA,18,6,2019,"SHARKLIFE"
"25.06.2019","GOTHAM","SDRZ","Shallow","0.4375",NA,NA,"0.44027777777777777",-27.499113,32.698677,"UVC","BULL SHARK","CARCHARHINUS LEUCAS","0","U","N","swimming below flasher",NA,NA,NA,NA,NA,NA,25,6,2019,"SHARKLIFE"
