"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"ORI_KZN_160","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"ORI KZN","ORI","Wesley Dalton","Central KZN",2016-06-15,"Central KZN","Not recorded",-29.4954,31.3891,NA,NA,"BRUVS","ORI","15","06","2016"
"16-11_ISI_046","Elasmobranchii","Dasyatidae","Taeniura","lymma","Taeniura lymma",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","16-11_ISI",2016-11-08,"9 Mile","IWP_St Lucia Restricted Zone",-27.4292166666667,32.7189666666667,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","11","2016"
"15-04_AB_30","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-34.02229,25.87537,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"15-04_AB_31","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-34.01685,25.8781,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"15-04_AB_34","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-33.98859,25.88809,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"15-04_AB_35","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-33.9997,25.89934,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"ORI_KZN_169","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"ORI KZN","ORI","Wesley Dalton","Central KZN",2016-06-15,"Central KZN","Not recorded",-28.8773,32.2096,NA,NA,"BRUVS","ORI","15","06","2016"
"13-02_TNP_090","Elasmobranchii","Rhinobatidae","Acroteriobatus","annulatus","Acroteriobatus annulatus",3,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-22,"Rheeders Reef","TNP MPA",-34.03175,23.91381,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","02","2013"
"15-04_AB_40","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-33.9926,25.88349,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"ORI_KZN_202","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"ORI KZN","ORI","Wesley Dalton","Central KZN",2018-05-11,"Central KZN","Not recorded",-29.396367,31.836683,NA,NA,"BRUVS","ORI","11","05","2018"
"15-04_AB_42","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-33.99252,25.86197,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"15-04_AB_43","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-20,"Riy Banks","Exploited",-33.98706,25.8808,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","04","2015"
"15-04_AB_44","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-23,"Cape Recife","Exploited",-34.05649,25.72371,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2015"
"ORI_KZN_208","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"ORI KZN","ORI","Wesley Dalton","Central KZN",2018-07-08,"Central KZN","Not recorded",-29.3865,31.832833,NA,NA,"BRUVS","ORI","08","07","2018"
"15-04_AB_45","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-23,"Cape Recife","Exploited",-34.06547,25.7227,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2015"
"15-04_AB_46","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-23,"Cape Recife","Exploited",-34.07464,25.72571,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2015"
"15-04_AB_49","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-23,"Cape Recife","Exploited",-34.05521,25.7135,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2015"
"15-05_AMA_029","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","15-05_Ama",2015-05-26,"Christmas Rock adjacent","Exploited",-33.16238,27.77742,NA,NA,"BRUVS","NRF-SAIAB MARIP","26","05","2015"
"15-06_AB_01","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-06_AB",2015-06-12,"Riy Banks","Exploited",-33.98421,25.86464,NA,NA,"BRUVS","NRF-SAIAB MARIP","12","06","2015"
"15-06_AB_02","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-06_AB",2015-06-12,"Riy Banks","Exploited",-33.98563,25.87144,NA,NA,"BRUVS","NRF-SAIAB MARIP","12","06","2015"
"ORI_KZN_68","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"ORI KZN","ORI","Wesley Dalton","Central KZN",2014-05-27,"Central KZN","Not recorded",-29.578,31.31906,NA,NA,"BRUVS","ORI","27","05","2014"
"ORI_KZN_69","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",2,"ORI KZN","ORI","Wesley Dalton","Central KZN",2014-05-27,"Central KZN","Not recorded",-29.57931,31.3174,NA,NA,"BRUVS","ORI","27","05","2014"
