"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"01/11/2020_SHARKLIFE_ST LUCIA_1","Elasmobranchii","Aetobatidae","Aetobatus","ocellatus","Aetobatus ocellatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-01,"St Lucia","Not recorded",-27.50952,32.69554,NA,NA,"BRUVS","SharkLife","01","11","2020"
"17-04_NSC-N_002","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-04-05,"Bluff","Exploited",-29.92733,31.02207,NA,NA,"BRUVS","NRF-SAIAB MARIP","05","04","2017"
"17-04_NSC-N_076","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-04-23,"Hibberdene","Exploited",-30.49607,30.68385,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2017"
"17-04_NSC-S_010","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-05,"Port Edward","Not recorded",-31.33218,29.97175,NA,NA,"BRUVS","NRF-SAIAB MARIP","05","04","2017"
"17-04_NSC-S_043","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-11,"Protea Bank","Exploited",-30.82489,30.4955,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2017"
"17-04_NSC-S_051","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-11,"Protea Bank","Exploited",-30.82894,30.48764,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2017"
"17-06_ISI-MANZ_020","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-15,"Rabbit Rock","IWP_Maputaland Sanctuary Zone",-27.0528333333333,32.87515,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","06","2017"
"20-10_RICHARDS BAY_023","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","20-10_SCF",2020-10-27,"Richards Bay","Exploited",-28.915182,32.053921,NA,NA,"BRUVS","NRF-SAIAB MARIP","27","10","2020"
"14-01_PONDO_030","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Pondoland","NRF-SAIAB MARIP","Anthony Bernard","14-01_Pondo",2014-01-24,"Port Edward","Exploited",-31.13856,30.2177,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","01","2014"
"01/11/2020_SHARKLIFE_ST LUCIA_2","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-02,"St Lucia","Not recorded",-27.50952,32.69554,NA,NA,"BRUVS","SharkLife","02","11","2020"
"14-03_AB_02","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98924,25.87508,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"08/11/2020_SHARKLIFE_ST LUCIA_13","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-08,"St Lucia","Not recorded",-27.506269,32.696442,NA,NA,"BRUVS","SharkLife","08","11","2020"
"08/11/2020_SHARKLIFE_ST LUCIA_14","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-08,"St Lucia","Not recorded",-27.50897,32.692028,NA,NA,"BRUVS","SharkLife","08","11","2020"
"12/11/2020_SHARKLIFE_ST LUCIA_18","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-12,"St Lucia","Not recorded",-27.51368,32.688828,NA,NA,"BRUVS","SharkLife","12","11","2020"
"15/10/2020_SHARKLIFE_ST LUCIA_22","Elasmobranchii","Rhinidae",NA,"sp.","Rhinidae sp.",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-15,"St Lucia","Not recorded",-27.53462,32.68326,NA,NA,"BRUVS","SharkLife","15","11","2020"
"16/11/2020_SHARKLIFE_ST LUCIA_25","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-16,"St Lucia","Not recorded",-27.514023,32.685593,NA,NA,"BRUVS","SharkLife","16","11","2020"
"16-11_ISI_042","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","16-11_ISI",2016-11-08,"9 Mile","IWP_St Lucia Restricted Zone",-27.4128,32.7345166666667,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","11","2016"
"17-04_NSC-N_039","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-11-04,"Aliwal Shoal","Aliwal Shaol MPA_controlled zone",-30.28973,30.78849,NA,NA,"BRUVS","NRF-SAIAB MARIP","04","11","2017"
"17-04_NSC-N_047","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-11-04,"Aliwal Shoal","Aliwal Shaol MPA_controlled zone",-30.26917,30.81838,NA,NA,"BRUVS","NRF-SAIAB MARIP","04","11","2017"
"14-03_AB_06","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98982,25.88865,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"17-06_ISI-MANZ_050","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-20,"Bhanga","IWP_Maputaland Restricted Zone",-26.99611,32.9069,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","06","2017"
"17-06_ISI-MANZ_054","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-20,"Rabbit Rock","IWP_Maputaland Sanctuary Zone",-27.02744,32.884,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","06","2017"
"18-06_ISI_001","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","18-06_Isi",2018-06-03,"Diepgat Canyon","IWP_St Lucia Restricted Zone",-27.6208166666667,32.67255,NA,NA,"BRUVS","NRF-SAIAB MARIP","03","06","2018"
"18-06_ISI_018","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","18-06_Isi",2018-06-08,"Levens Canyon","IWP_St Lucia Sanctuary Zone",-27.9154082480818,32.6212082616984,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","06","2018"
"14-03_AB_12","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98432,25.87521,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"20-11_OA_019","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-13,"Bhanga area","IWP_Maputaland Sanctuary Zone",-27.06696,32.90751,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","11","2020"
"19-06_TNP_053","Elasmobranchii","Rajidae","Dipturus","doutrei","Dipturus doutrei",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-03,"Middle bank","TNP MPA",-34.04078,23.86879,NA,NA,"BRUVS","NRF-SAIAB MARIP","03","06","2019"
"16-03_AMA_110","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9518318455666,28.0599629692733,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_112","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",4,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9491722676903,28.0525056738406,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_114","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9554027039557,28.0618772283196,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_118","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-09,"Gonubie adjacent","Exploited",-32.93103886,28.09234519,NA,NA,"BRUVS","NRF-SAIAB MARIP","09","04","2016"
"16-03_AMA_121","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-09,"Gonubie MPA","Amathole MPA_Gonubie",-33.00906843,27.99479879,NA,NA,"BRUVS","NRF-SAIAB MARIP","09","04","2016"
"16-03_AMA_136","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-15,"Kei MPA","Amathole MPA_Kei",-32.7352835331112,28.3901940286159,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","04","2016"
"17-06_ISI-SOD_038","Elasmobranchii","Hexanchidae","Heptranchias","perlo","Heptranchias perlo",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-14,"Wright Canyon","IWP_St Lucia Restricted Zone",-27.48382,32.71112,NA,NA,"BRUVS","NRF-SAIAB MARIP","14","06","2017"
"16-03_AMA_138","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-15,"Kei MPA","Amathole MPA_Kei",-32.7068086154758,28.3849369827657,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","04","2016"
"14-10_ELLEN_04","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",1,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-01,"Outer 12Mile","Exploited",-35.103667,19.9395,NA,NA,"BRUVS","DFFE/SAIAB","01","10","2014"
"16-03_AMA_144","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",6,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-15,"Kei MPA","Amathole MPA_Kei",-32.7534264139831,28.3417110051959,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","04","2016"
"16-03_AMA_146","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-15,"Kei MPA","Amathole MPA_Kei",-32.7154293190687,28.374120555818,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","04","2016"
"14-10_ELLEN_10","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",2,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-02,"Cape Barracuda","Exploited",-34.442,21.159667,NA,NA,"BRUVS","DFFE/SAIAB","02","10","2014"
"16-03_AMA_151","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-16,"Kei MPA","Amathole MPA_Kei",-32.6977212075144,28.3934669941663,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","04","2016"
"16-03_AMA_154","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-16,"Kei MPA","Amathole MPA_Kei",-32.7101229038089,28.390936832875,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","04","2016"
"16-03_AMA_160","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",4,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-16,"Kei MPA","Amathole MPA_Kei",-32.7312505804002,28.362835496664,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","04","2016"
"16-03_AMA_164","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-17,"Kei adjacent","Exploited",-32.654739646241,28.4635858889669,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","04","2016"
"14-10_ELLEN_20","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",1,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-03,"Dalgleesh Bank","Exploited",-34.193667,22.962667,NA,NA,"BRUVS","DFFE/SAIAB","03","10","2014"
"16-03_AMA_58","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-17,"Gonubie adjacent","Exploited",-32.9230752959847,28.0792415980249,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2016"
"14-10_ELLEN_23","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",1,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-03,"Dalgleesh Bank","Exploited",-34.1935,22.957667,NA,NA,"BRUVS","DFFE/SAIAB","03","10","2014"
"16-03_AMA_59","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-17,"Gonubie adjacent","Exploited",-32.9277639649808,28.0771028716117,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2016"
"14-10_ELLEN_51","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",2,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-12,"Alphard Bank","Exploited",-35.0536,20.919367,NA,NA,"BRUVS","DFFE/SAIAB","12","10","2014"
"14-10_ELLEN_52","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",2,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-12,"Alphard Bank","Exploited",-35.06335,20.916783,NA,NA,"BRUVS","DFFE/SAIAB","12","10","2014"
"16-03_AMA_63","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-17,"Gonubie adjacent","Exploited",-32.9288862179964,28.0710249021649,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2016"
"21-05_WILD_033","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-14,"Port Grosvenor","Pondoland MPA_no-take",-31.43689,29.8692,NA,NA,"BRUVS","NRF-SAIAB MARIP","14","05","2021"
"14-10_ELLEN_53","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",1,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-12,"Alphard Bank","Exploited",-35.0642,20.915933,NA,NA,"BRUVS","DFFE/SAIAB","12","10","2014"
"21-05_WILD_036","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-14,"Port Grosvenor","Pondoland MPA_no-take",-31.44353,29.86466,NA,NA,"BRUVS","NRF-SAIAB MARIP","14","05","2021"
"20-11_OA_020","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",2,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-13,"Bhanga area","IWP_Maputaland Sanctuary Zone",-27.04416,32.90181,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","11","2020"
"15-04_AB_18","Elasmobranchii","Myliobatidae","Aetomylaeus","bovinus","Aetomylaeus bovinus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-19,"Riy Banks","Exploited",-33.99252,25.88335,NA,NA,"BRUVS","NRF-SAIAB MARIP","19","04","2015"
"14-10_ELLEN_55","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",3,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-12,"Alphard Bank","Exploited",-35.0644,20.900283,NA,NA,"BRUVS","DFFE/SAIAB","12","10","2014"
"20-11_OA_021","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-13,"Bhanga area","IWP_Maputaland Sanctuary Zone",-27.04636,32.89793,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","11","2020"
"13-02_TNP_021","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",2,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-08,"Rheeders Reef","TNP MPA",-34.02713,23.92396,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","02","2013"
"14-02_TNP_072","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","14-02_TNP",2014-02-25,"Nature's Valley Deep","Exploited",-34.00326,23.58071,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","02","2014"
"14-04_AB_015","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-11,"Bird Island","Bird Island MPA",-33.86293,26.26353,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2014"
"14-10_ELLEN_56","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",2,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-13,"72Mile Bank (Aandsklip)","Exploited",-35.716667,20.7199,NA,NA,"BRUVS","DFFE/SAIAB","13","10","2014"
"20-02_TNP_048","Elasmobranchii","Rajidae","Dipturus","pullopunctatus","Dipturus pullopunctatus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-23,"Middle bank","TNP MPA",-34.0458,23.86874,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","02","2020"
"15-05_PONDO_001","Elasmobranchii","Myliobatidae","Aetomylaeus","bovinus","Aetomylaeus bovinus",2,"Pondoland","NRF-SAIAB MARIP","Anthony Bernard","15-05_Pondo",2015-05-10,"Palm Beach","Exploited",-30.98283,30.30823,NA,NA,"BRUVS","NRF-SAIAB MARIP","10","05","2015"
"14-04_AB_036","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",5,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-13,"Riy Banks","Exploited",-33.9871,25.88826,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","04","2014"
"14-04_AB_048","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-13,"Riy Banks","Exploited",-33.98967,25.85895,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","04","2014"
"14-10_ELLEN_57","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",3,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-13,"72Mile Bank (Aandsklip)","Exploited",-35.710383,20.7215,NA,NA,"BRUVS","DFFE/SAIAB","13","10","2014"
"15-03_DH_077","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-04-02,"Martha's Point","De Hoop MPA",-34.56096,20.45747,NA,NA,"BRUVS","NRF-SAIAB MARIP","02","04","2015"
"14-10_ELLEN_58","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",3,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-13,"72Mile Bank (Aandsklip)","Exploited",-35.7083,20.73205,NA,NA,"BRUVS","DFFE/SAIAB","13","10","2014"
"15-05_AMA_016","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","15-05_Ama",2015-05-24,"Gonubie MPA","Amathole MPA_Gonubie",-32.97074,28.02544,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","05","2015"
"15-05_AMA_022","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","15-05_Ama",2015-05-26,"Christmas Rock MPA","Amathole MPA_Gxulu",-33.1701,27.74098,NA,NA,"BRUVS","NRF-SAIAB MARIP","26","05","2015"
"15-05_AMA_024","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","15-05_Ama",2015-05-26,"Christmas Rock MPA","Amathole MPA_Gxulu",-33.16274,27.75321,NA,NA,"BRUVS","NRF-SAIAB MARIP","26","05","2015"
"15-05_AMA_033","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","15-05_Ama",2015-05-28,"Gonubie adjacent","Exploited",-32.92294,28.08307,NA,NA,"BRUVS","NRF-SAIAB MARIP","28","05","2015"
"SANPARKS_FALSE BAY_STJAMES_BOULDERS_CONTROLLED_9","Elasmobranchii","Hexanchidae",NA,"sp.","Hexanchidae sp.",1,"TMNP","SANParks","Alison Kock","False Bay",2020-02-12,"Table Mountain National Park","TMNP_Controlled_Zone",-34.168889,18.433417,NA,NA,"BRUVS","SANParks","12","02","2020"
"16-03_AMA_100","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.1955157313495,27.6978503353893,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"16-03_AMA_101","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",5,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.1899363175034,27.6788773108273,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"13-02_TNP_012","Elasmobranchii","Hexanchidae","Notorynchus","cepedianus","Notorynchus cepedianus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-07,"Rheeders Reef","TNP MPA",-34.02888,23.91077,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","02","2013"
"16-03_AMA_103","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",4,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.1859342101961,27.7013341896235,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"16-03_AMA_104","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.1806818582117,27.6980227511376,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"16-03_AMA_108","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9489369038492,28.0571744777262,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"14-10_ELLEN_59","Elasmobranchii","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",2,"DFFE Agulhas Bank","DFFE/SAIAB","Anthony Bernard","14-10_Ellen",2014-10-13,"72Mile Bank (Aandsklip)","Exploited",-35.705533,20.723767,NA,NA,"BRUVS","DFFE/SAIAB","13","10","2014"
"16-03_AMA_110","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9518318455666,28.0599629692733,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_111","Elasmobranchii","Scyliorhinidae","Halaelurus","natalensis","Halaelurus natalensis",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9461122862994,28.0579080618917,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
