SHARKTRIP_ID,SHARK_ID,YEAR,X,Y,X.SE,Y.SE,XMIN,XMAX,YMIN,YMAX,LONGITUDE,LATITUDE,DATETIME,TL,TAG_AREA,SEX,LIFESTAGE,YEARDAY,MONTH,WEEK,VITERBI_STATE,PROB_TRANSIENT,DAY,OWNER,DATATYPE,SPECIES_COMMON,SPECIES_SCIENTIFIC
Albert_001,Albert,2012,2518003.051,-4004933.944,34.48329093,33.07678058,2517935.463,2518070.638,-4004998.774,-4004869.113,22.61960626,-34.00018581,2012/05/31 03:00,295,Gansbaai,Male,Imm,152,5,22,Transient,0.55799267,31,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2534840.403,-4001725.93,38.89162604,36.99615013,2534764.175,2534916.63,-4001798.443,-4001653.418,22.77085877,-33.9761805,2012/05/31 15:00,295,Gansbaai,Male,Imm,152,5,22,Transient,0.852952119,31,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2556507.708,-3999995.526,34.23684844,31.83461407,2556440.604,2556574.812,-4000057.922,-3999933.131,22.96549948,-33.96322919,2012/06/01 03:00,295,Gansbaai,Male,Imm,153,6,22,Transient,0.976951939,1,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2584300.009,-4000199.831,22.28564548,19.66397239,2584256.329,2584343.689,-4000238.373,-4000161.29,23.21516197,-33.96475843,2012/06/01 15:00,295,Gansbaai,Male,Imm,153,6,22,Transient,0.99819172,1,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2619512.347,-4002795.944,6.979338163,3.843351349,2619498.668,2619526.027,-4002803.477,-4002788.411,23.53147978,-33.98418809,2012/06/02 03:00,295,Gansbaai,Male,Imm,154,6,22,Transient,0.999812131,2,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2663282.887,-4007115.452,5.123630748,3.654866555,2663272.845,2663292.93,-4007122.616,-4007108.289,23.92467724,-34.01650595,2012/06/02 15:00,295,Gansbaai,Male,Imm,154,6,22,Transient,0.999803189,2,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2706968.788,-4017948.993,6.713254694,5.685819623,2706955.63,2706981.945,-4017960.137,-4017937.848,24.31711435,-34.09750612,2012/06/03 03:00,295,Gansbaai,Male,Imm,155,6,23,Transient,0.999086064,3,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2736294.547,-4026797.103,14.76893486,13.85229811,2736265.6,2736323.494,-4026824.253,-4026769.952,24.58055213,-34.16360364,2012/06/03 15:00,295,Gansbaai,Male,Imm,155,6,23,Transient,0.99673255,3,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2761453.586,-4028244.805,6.049987058,5.200718185,2761441.728,2761465.444,-4028254.998,-4028234.611,24.80655963,-34.17441336,2012/06/04 03:00,295,Gansbaai,Male,Imm,156,6,23,Transient,0.996269432,4,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
Albert_001,Albert,2012,2787119.577,-4024815.766,7.117556115,4.979746249,2787105.626,2787133.527,-4024825.526,-4024806.006,25.03712115,-34.14880711,2012/06/04 15:00,295,Gansbaai,Male,Imm,156,6,23,Transient,0.994618149,4,SHARKGROUP,SATTELITETAG,WHITE SHARK,CARCHARODON CARCHARIAS
