"","DATE","BEACH","SPECIES_COMMON","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","DATATYPE","LATITUDE","LONGITUDE"
"24",2017-01-02,"CLOVELLY","WHITE SHARK","02","01","2017","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"25",2016-12-27,"CLOVELLY","WHITE SHARK","27","12","2016","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"26",2016-12-18,"CLOVELLY","BRONZE WHALER","18","12","2016","CARCHARHINUS BRACHYURUS","SURFACESIGHTING",-34.13356,18.441645
"27",2016-11-26,"CLOVELLY","BRONZE WHALER","26","11","2016","CARCHARHINUS BRACHYURUS","SURFACESIGHTING",-34.13356,18.441645
"28",2016-11-05,"CLOVELLY","BRONZE WHALER","05","11","2016","CARCHARHINUS BRACHYURUS","SURFACESIGHTING",-34.13356,18.441645
"29",2016-02-13,"CLOVELLY","WHITE SHARK","13","02","2016","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"30",2015-12-21,"CLOVELLY","WHITE SHARK","21","12","2015","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"31",2015-12-10,"CLOVELLY","WHITE SHARK","10","12","2015","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"32",2015-12-10,"CLOVELLY","WHITE SHARK","10","12","2015","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"33",2015-12-10,"CLOVELLY","WHITE SHARK","10","12","2015","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"34",2015-12-10,"CLOVELLY","WHITE SHARK","10","12","2015","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"35",2014-11-30,"CLOVELLY","WHITE SHARK","30","11","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"36",2014-11-30,"CLOVELLY","WHITE SHARK","30","11","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"37",2014-11-15,"CLOVELLY","WHITE SHARK","15","11","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"38",2014-10-08,"CLOVELLY","WHITE SHARK","08","10","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"39",2014-10-08,"CLOVELLY","WHITE SHARK","08","10","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"40",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"41",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"42",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"43",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"44",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"45",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
