"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER","SITENUMBER","MAXN","WAYPOINT","CURRENT (KM/H)","CURRENT DIRECTION","DEPTH","SST","BST","SWELL (M)","VISABILITY (M)","SUBSTRATE TYPE","DEPLOYMENT TIME","RETRIEVAL TIME","SOAK TIME","VIDEO FOLDER REFERENCE","BOAT WAYPOINT","BOTTOM TEMP","REEF NAME","VIDEO REFERENCE","...15","CLOUD COVER (%)"
"08.11.2020","THREE MILE","SDRZ","Deep","0.3527777777777778","0.39513888888888887",61,NA,27.506269,32.696442,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,"inspecting bait","BullShark_GP030001_10.58",NA,NA,NA,"Jess",NA,8,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08.11.2020","THREE MILE","SDRZ","Mid","0.3215277777777778","0.37361111111111112",75,NA,27.50897,32.692028,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,NA,NA,"inspecting bait","SilvertipShark_GH051550_09.58",NA,NA,NA,"Jess",NA,8,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12.11.2020","TWO MILE","SDRZ","Shallow","0.32500000000000001","0.37777777777777777",76,NA,27.51368,32.688828,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,NA,NA,NA,"SilverTip_GH051551_00.50",NA,NA,NA,"Jess",NA,12,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.11.2020","TWO MILE","SDRZ","Shallow","0.32291666666666669","0.36805555555555558",65,NA,27.516167,32.687698,"BRUV","WHITE SPOTTED WEDGEFISH","RHYNCHOBATUS DJIDDENSIS",NA,NA,NA,NA,"White Spotted Wedgefish_GP010001_10.02",NA,NA,NA,"Jess",NA,16,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.11.2020","TWO MILE","SDRZ","Shallow","0.33055555555555555","0.37638888888888888",66,NA,27.514023,32.685593,"BRUV","DRAGON RAY","PATEOBATIS JENKINSII",NA,NA,NA,NA,"DragonRay_GP017599_11.20",NA,NA,NA,"Jess",NA,16,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.11.2020","TWO MILE","SDRZ","Shallow","0.33055555555555555","0.37638888888888888",66,NA,27.514023,32.685593,"BRUV","HONEYCOMB WHIPRAY","HIMANTURA UNDULATA",NA,NA,NA,NA,"Honeycomb_Whipray_GP017599_06.41",NA,NA,NA,"Jess",NA,16,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.11.2020","TWO MILE","SDRZ","Shallow","0.33055555555555555","0.37638888888888888",66,NA,27.514023,32.685593,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,NA,NA,NA,"Silvertip_GP017599_11.59",NA,NA,NA,"Jess",NA,16,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.11.2020","GOTHAM","SDRZ","Mid","0.30069444444444443","0.34652777777777777",66,NA,27.499113,32.698677,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"2xBullShark_GOPR0001_02.34",NA,NA,"2","Sam","Grant, Max, Jess, Sam, Dennis",17,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.11.2020","GOTHAM","SDRZ","Mid","0.30069444444444443","0.34652777777777777",66,NA,27.499113,32.698677,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"2xBullShark_GOPR0001_02.34",NA,NA,NA,"Jess",NA,17,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.11.2020","GOTHAM","SDRZ",NA,"0.32430555555555557","0.3756944444444445",74,NA,27.499561,32.694199,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"BullShark_GOPR7600_01.36",NA,NA,NA,"Jess",NA,17,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.11.2020","GOTHAM","SDRZ","Deep","0.32430555555555557","0.3756944444444445",74,NA,27.499561,32.694199,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"BullShark_GOPR7600_06.50",NA,NA,NA,"Jess",NA,17,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24.11.2020","LETTUCE","SDRZ","Deep","0.29791666666666666","0.34166666666666662",63,NA,27.495964,32.699158,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"Shark_Vid1_7.36",NA,NA,NA,NA,NA,24,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
