"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009041002,2009-04-10,1,"CARCHARODON CARCHARIAS","WHITE SHARK","10","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2009-04-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2009-05-09,1,"CARCHARODON CARCHARIAS","WHITE SHARK","09","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2009-05-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2011-04-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","04","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2011-10-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","10","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041002,2011-10-05,1,"CARCHARODON CARCHARIAS","WHITE SHARK","05","10","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041101,2009-04-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041301,2009-04-13,1,"CARCHARODON CARCHARIAS","WHITE SHARK","13","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041302,2009-04-13,1,"CARCHARODON CARCHARIAS","WHITE SHARK","13","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041302,2009-05-06,1,"CARCHARODON CARCHARIAS","WHITE SHARK","06","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041302,2011-03-13,1,"CARCHARODON CARCHARIAS","WHITE SHARK","13","03","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041302,2011-03-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","03","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041401,2009-04-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041401,2011-02-20,1,"CARCHARODON CARCHARIAS","WHITE SHARK","20","02","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
